X1,X2,Y
48,97,61
47,77,40
47,99,48
41,77,54
41,77,34
42,55,48
61,88,68
69,120,67
62,87,67
65,87,75
48,50,56
52,87,60
47,87,47
47,87,60
47,81,61
41,55,47
55,88,68
75,98,68
62,87,74
68,87,75
48,44,55
49,94,61
48,77,46
54,55,61
54,76,58
48,65,50
61,90,68
54,119,75
68,119,75
68,98,75
47,55,56
41,66,61
42,67,64
41,58,50
55,90,61
68,77,47
61,99,68
61,109,82
54,76,67
48,75,69
40,77,55
34,67,48
48,68,47
38,67,55
55,89,61
62,87,61
68,87,68
56,87,65
38,65,70
61,98,75
68,105,61
50,78,54
55,77,60
27,66,55
48,66,55
40,55,47
40,78,56
48,79,54
38,75,69
57,98,74
68,98,68
61,87,66
35,87,61
40,77,69
